X1,Y1,X2,Y2
472.62,268.73,820.1,85.967
481.91,256.52,826.54,89.799
490.52,245.43,831.61,93.327
499.35,234.3,836.79,96.946
506.8,224.51,841.6,99.926
514.39,214.68,846.51,102.83
521.56,204.84,851.42,105.56
527.8,196.19,856.62,108.23
533.91,187.25,861.53,110.63
539.35,179.36,865.85,112.64
544.68,171.19,870.8,114.88
549.76,163.14,876.34,116.98
554.63,155.43,881.19,118.93
559.27,147.64,885.93,120.64
563.84,139.73,890.38,122.25
570.86,131.59,894.73,123.77
583.7,126.41,899.28,125.4
602.67,115.55,903.57,126.94
619.27,102.35,907.4,128.34
631.29,92.878,911.31,129.69
641.83,84.726,915.3,130.94
652.72,77.226,919.19,131.91
680.89,78.339,922.86,132.96
689.03,86.668,927.92,139.91
699.33,95.444,928.64,145.88
710.24,105,928.97,152.49
720.76,114.72,929.06,158.94
728.63,122.37,928.78,166.4
736.94,130.53,928.51,173.75
744.29,137.65,928.22,180.38
751.8,144.39,928.16,186.2
758.41,150.44,927.9,192.98
765.79,156.65,927.87,198.28
775.1,159.53,928.34,204.96
782.37,160.44,923.06,214.42
791.62,160.93,915.27,219.93
799.17,161.68,903.81,230.27
806.59,163.02,893.66,241.56
813.96,164.71,883.65,253.54
823.05,167.5,874.62,264.79
829.02,176.21,866.41,274.98
834.76,190.75,858.73,284.54
840,209.41,851.34,293.54
840.06,223.92,844.46,302.34
840.89,239.63,837.61,310.82
842.8,254.03,831.45,318.56
844.77,267.56,825.48,325.74
846.74,281.1,819.52,332.91
853.21,290.31,814.11,338.88
863.83,305.81,808.58,344.68
872,318.99,802.6,352.09
879.93,331.32,798.5,357.82
886.66,342.48,794.76,363.4
892.36,353.63,790.99,368.84
896.13,361.76,787.78,373.63
899.2,369.45,784.64,378.37
901.82,376.36,781.67,382.89
903.96,383.15,778.39,387.57
905.99,389.51,775.74,391.38
907.71,395.83,772.86,395.62
909.2,401.56,770.16,399.43
910.61,407.11,767.78,403.01
911.8,412.19,765.2,406.7
914.01,420.13,763.02,409.81
908.69,428.47,760.53,413.38
898.07,432.37,758.65,416.23
883.97,437.13,756.38,419.53
871.69,441.28,754.89,421.91
861.31,444.45,753.3,424.46
851.21,447.35,751.36,427.23
842.05,450.09,749.56,429.94
832.9,452.94,747.86,432.35
824.43,455.78,745.86,435.26
816.71,458.56,744.29,437.52
809.39,461.32,742.95,439.38
802.32,463.92,741.18,441.85
795.27,466.66,740.6,443.14
790.05,468.77,738.76,446.1
781.37,477.34,732.49,446.21
769.83,488.86,727.05,443.39
756.04,497.92,719.48,439.01
745.31,503.38,711.37,434.36
735.84,507.59,704.7,430.69
725.9,511.25,698.95,427.58
716.48,514.37,693.76,424.75
707.74,517.02,688.28,421.76
699.14,519.54,683.73,419.17
690.14,522.13,678.92,416.48
682.11,524.54,674.57,414.05
674.23,526.86,670.45,411.64
667.26,529.08,666.21,409.38
660.53,531.25,661.82,406.95
649.11,532.05,658.14,404.83
639.81,520.55,654.45,402.74
625.74,503.61,650.84,400.66
610.63,487.91,646.35,397.9
599.74,476.52,639.99,399.68
589.04,464.83,635.42,405.58
579.24,454.89,628.96,413.79
568.99,445.54,622.56,421.33
558.72,436.72,616.61,428.16
548,427.4,610.47,433.73
542.08,416.29,602.84,434.43
537.8,399.08,597.66,429.43
529.79,381.08,592.96,421.45
520.1,363.63,588.68,412.57
511.17,348.48,584.66,404.43
503.25,336.15,580.97,397.71
496.54,325.11,577.16,390.97
488.09,313.8,573.92,385.47
472.95,311.53,570.04,379.53
458.43,315.88,566.19,374.19
446.81,319.2,562.55,369.33
444.52,320.12,558.73,364.61
437.21,328.68,554.9,360.08
434.88,341.79,551.22,356.02
433.25,352.71,547.92,351.95
431.27,366.35,544.7,346.99
431.02,382.69,542.06,341.85
431.51,392.94,538.81,335.96
431.23,400.65,531.79,331.97
431.51,418.25,522.16,333.68
434.91,436.53,513.2,338.05
436.85,449.37,502.55,343.1
438.09,460.74,492.68,347.26
439.37,472.87,484.38,350.88
440.22,484.42,476.16,355.01
440.63,495.16,470.45,361.74
440.85,504.92,466.54,371.45
440.8,514.53,463.08,382.71
