X1,Y1,W1,H1,X2,Y2,W2,H2
50,390,15,65,230,70,60,40
50,400,20,70,215,80,55,45
50,400,25,50,200,90,55,45
50,415,25,60,195,95,60,45
55,420,30,65,180,105,55,45
60,420,35,75,175,110,60,50
60,430,35,80,165,120,60,45
65,430,35,80,160,120,65,45
65,440,35,85,145,130,55,40
70,440,30,80,140,135,60,40
75,445,35,85,135,140,65,40
75,450,30,80,130,145,65,40
75,455,25,80,115,150,60,35
80,460,30,85,105,160,60,35
80,465,25,80,100,160,60,35
80,470,25,85,90,175,45,45
85,190,25,60,85,475,30,85
70,210,30,55,85,480,30,90
60,220,45,50,85,485,30,95
50,235,40,45,85,485,25,80
50,235,25,30,90,490,30,85
50,230,10,10,90,490,25,70
50,280,5,5,85,495,35,65
50,280,15,20,80,510,50,50
50,280,30,30,90,520,65,25
55,285,40,45,100,525,75,15
60,295,50,55,105,525,75,10
70,305,45,50,110,525,75,10
75,315,50,50,120,525,85,10
85,320,50,55,125,525,85,10
90,330,50,50,130,525,80,10
100,335,50,55,140,525,85,10
105,340,35,50,145,525,85,10
120,345,15,55,145,530,65,15
125,355,10,65,160,535,40,40
120,370,20,65,170,530,45,55
120,370,20,70,180,515,50,65
120,380,20,70,190,505,55,55
120,390,25,70,200,495,60,55
120,395,35,55,210,485,65,55
120,415,50,25,220,480,65,55
130,420,60,25,230,470,65,55
140,430,55,15,240,460,90,55
155,440,50,5,250,455,90,50
165,435,50,10,255,450,95,55
185,435,50,10,265,445,90,55
205,435,50,20,275,435,90,50
210,435,50,20,280,430,90,60
235,425,50,40,285,425,95,75
250,445,50,60,295,415,85,80
260,455,55,65,295,410,75,80
275,460,60,80,305,405,70,50
285,470,55,30,310,400,65,40
295,475,60,30,315,400,65,45
300,480,65,25,320,395,70,45
305,485,60,25,320,395,65,45
315,490,65,20,330,390,60,45
325,495,70,20,330,390,65,45
330,495,60,15,335,385,60,45
335,500,70,15,340,385,65,45
345,380,70,50,345,500,60,15
345,500,65,15,350,375,60,50
350,375,65,50,355,505,75,15
355,375,65,45,355,505,55,10
360,370,60,50,380,520,25,35
360,370,70,55,385,520,25,55
365,365,70,55,395,500,25,65
365,365,65,50,400,480,25,70
370,365,65,45,400,485,25,70
375,360,60,50,405,470,20,70
375,360,65,50,410,450,20,65
380,355,65,55,410,455,25,70
380,355,70,55,415,435,20,70
380,355,60,45,415,435,25,70
385,355,60,65,420,420,25,75
390,350,70,65,420,425,25,70
390,350,65,60,425,405,30,70
390,360,70,85,425,395,70,85
405,305,15,50,410,355,55,100
395,300,25,50,415,345,70,95
390,295,30,50,450,380,60,55
390,285,25,50,460,365,65,65
390,285,30,60,465,355,65,65
390,300,35,75,470,345,15,65
390,290,30,75,475,320,15,65
390,290,35,80,480,305,15,75
385,290,40,80,480,305,15,65
380,280,35,75,480,310,15,75
375,275,40,75,485,290,15,60
370,265,35,70,485,295,15,70
370,265,40,70,490,270,20,75
370,265,40,75,490,280,15,60
365,255,40,70,485,235,20,35
365,250,40,70,470,230,45,35
365,250,40,75,455,215,45,40
360,240,30,65,445,200,45,40
355,245,30,50,435,190,50,45
355,245,40,55,420,175,75,50
350,255,40,45,395,205,85,85
355,255,40,40,405,165,60,70
360,250,40,40,405,160,45,70
365,245,40,40,405,155,45,75
360,135,50,50,390,190,45,100
345,125,50,20,380,185,55,90
325,115,45,25,375,190,55,80
